G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Outcome,Player
10,-21,-3.099999999999998,-1.1,-0.7999999999999998,-0.08799999999999997,0.19999999999999998,0.6000000000000001,0.05499999999999999,-1.2999999999999998,-1.2999999999999998,-0.08999999999999997,-0.07499999999999996,0.0,0.0,-0.0020000000000000018,-0.20000000000000007,-0.7,-0.8,-0.30000000000000004,-0.09999999999999998,0.0,-0.10000000000000009,-0.10000000000000009,-1.9000000000000004,2002,0,Courtney Alexander\alexaco02
-13,-15,-1.6000000000000014,0.0,0.6000000000000014,-0.01799999999999996,0.7999999999999998,2.0,0.0010000000000000009,-0.7999999999999998,-1.3000000000000007,-0.02100000000000002,0.0040000000000000036,-1.1,-1.1999999999999997,-0.015000000000000013,0.0,-0.7000000000000002,-0.7000000000000002,-0.6999999999999997,-0.19999999999999996,0.09999999999999998,-0.20000000000000018,0.0,-0.1999999999999993,2001,0,Ray Allen\allenra02
7,8,1.2999999999999972,0.20000000000000018,1.2999999999999972,-0.02300000000000002,-0.6999999999999997,-0.7000000000000002,-0.056999999999999995,0.7999999999999998,1.9000000000000004,-0.007000000000000006,-0.049000000000000044,1.1,0.8999999999999999,0.04300000000000004,0.0,0.5,0.5,0.5000000000000004,0.09999999999999987,-0.09999999999999998,0.30000000000000027,0.6000000000000001,0.6999999999999993,2002,0,Ray Allen\allenra02
-20,-19,0.5,0.09999999999999964,0.3000000000000007,0.0010000000000000009,0.0,-0.20000000000000018,0.015000000000000013,0.09999999999999964,0.5,-0.009999999999999953,0.0,0.20000000000000018,0.2999999999999998,-0.01200000000000001,0.0,0.10000000000000009,0.09999999999999964,0.39999999999999947,-0.09999999999999987,0.0,0.19999999999999973,-0.5,0.5,2003,0,Ray Allen\allenra02
22,22,0.8999999999999986,0.1999999999999993,1.0,-0.01200000000000001,0.10000000000000009,0.2999999999999998,-0.016000000000000014,0.20000000000000018,0.5999999999999996,-0.009000000000000008,-0.014000000000000012,0.39999999999999947,0.7000000000000002,-0.02100000000000002,-0.19999999999999996,-0.5,-0.6999999999999993,-1.0999999999999996,-0.19999999999999996,-0.1,-0.5999999999999996,-0.2999999999999998,0.8999999999999986,2004,0,Ray Allen\allenra02
0,0,-0.5999999999999943,0.5,0.0,0.026000000000000023,0.6999999999999997,1.3000000000000007,0.035999999999999976,-0.20000000000000018,-1.0999999999999996,0.02699999999999997,0.04600000000000004,-0.5999999999999996,-0.9000000000000004,0.020000000000000018,-0.09999999999999998,-0.10000000000000009,-0.10000000000000053,0.0,0.19999999999999996,0.1,0.19999999999999973,-0.20000000000000018,1.2000000000000028,2005,0,Ray Allen\allenra02
-23,-23,1.5999999999999943,0.5,1.8000000000000007,-0.016000000000000014,-0.3999999999999999,-0.3000000000000007,-0.03999999999999998,0.9000000000000004,2.0,-0.007000000000000006,-0.03400000000000003,0.8999999999999995,1.0,0.0,0.09999999999999998,0.20000000000000018,0.20000000000000018,0.39999999999999947,0.19999999999999996,0.0,0.3999999999999999,0.20000000000000018,1.2999999999999972,2006,0,Ray Allen\allenra02
18,18,-4.399999999999999,-3.1999999999999993,-7.5,0.007000000000000006,-0.5,-1.8999999999999995,0.026000000000000023,-2.7,-5.6000000000000005,0.006000000000000005,0.027000000000000024,-2.1999999999999997,-2.3999999999999995,0.0040000000000000036,0.0,-0.8999999999999999,-0.7999999999999998,-0.9999999999999996,-0.6,0.0,-1.0999999999999999,-0.10000000000000009,-9.0,2007,0,Ray Allen\allenra02
6,6,0.5,0.2999999999999998,-0.3000000000000007,0.034999999999999976,0.0,0.0,0.010999999999999954,0.2999999999999998,-0.2999999999999998,0.05700000000000005,0.03799999999999992,0.10000000000000009,0.0,0.04499999999999993,-0.19999999999999996,0.10000000000000009,-0.20000000000000018,-0.30000000000000027,0.0,0.0,0.0,0.0,0.8000000000000007,2008,0,Ray Allen\allenra02
1,1,-1.1999999999999957,-0.5,-1.0,-0.0030000000000000027,-0.7,-1.2000000000000002,-0.045999999999999985,0.20000000000000018,0.20000000000000018,0.014000000000000012,-0.02399999999999991,-0.10000000000000009,0.0,-0.038999999999999924,-0.20000000000000007,-0.10000000000000009,-0.2999999999999998,-0.19999999999999973,-0.09999999999999998,0.09999999999999998,-0.09999999999999987,0.2999999999999998,-1.8999999999999986,2009,0,Ray Allen\allenra02
